source_url,row_count,traceability_status,content_type,url_hash,local_path,sha256,size_bytes,replacement_url,indexed_at
https://www.agilent.com/cs/library/usermanuals/public/7890B_Safety.pdf,3,network_error,,cf10926332,artifacts\pdf_source_backups_20260725\files\001_www.agilent.com_cf10926332_7890B_Safety.pdf,59a6fce777a5605bc1e926e6a37b983b0707d8cd6bf2a757b537db651aea87a9,512345,,2026-07-25T15:24:08.880764+00:00
https://ehs.stanford.edu/wp-content/uploads/lab-chemical-safety-plan.pdf,11,open,application/pdf,3ee5976b86,artifacts\pdf_source_backups_20260725\files\002_ehs.stanford.edu_3ee5976b86_lab-chemical-safety-plan.pdf,f10e0e7683dee15b7a2f99d1ca32399490c4779f6c54eb3164d925ff908405df,3214863,,2026-07-25T15:24:08.880764+00:00
https://www.agilent.com/cs/library/primers/public/Best_Practice_LC_Operations.pdf,2,network_error,,e78975e008,artifacts\pdf_source_backups_20260725\files\002_www.agilent.com_e78975e008_Best_Practice_LC_Operations.pdf,57affb750a959a956bd1455dbc8840ee7b711a1f8b67ff3ca3f8f70d0d7a74dc,8929577,,2026-07-25T15:24:08.880764+00:00
https://icp-ms.help.agilent.com/en/Learning/PDF/G8400-90016_Precautions.pdf,9,open,application/pdf,da120930cf,artifacts\pdf_source_backups_20260725\files\003_icp-ms.help.agilent.com_da120930cf_G8400-90016_Precautions.pdf,0e7d8e17b1cf5aaebb3cb21623564fb2473090dc0e211ce856b3bdc0e7111125,135253,,2026-07-25T15:24:08.880764+00:00
https://www.agilent.com/cs/library/usermanuals/public/7890A%20GC%20User%20Manual%20Collection.pdf,2,network_error,,f579a36ba4,artifacts\pdf_source_backups_20260725\files\003_www.agilent.com_f579a36ba4_7890A_GC_User_Manual_Collection.pdf,a421c378f0a469cd530560f002a928ba90639d94cec4115999f7560cd58d018d,203396,,2026-07-25T15:24:08.880764+00:00
https://www.epa.gov/sites/default/files/2016-01/documents/hw-char.pdf,6,open,application/pdf,834f0fa9eb,artifacts\pdf_source_backups_20260725\files\003_www.epa.gov_834f0fa9eb_hw-char.pdf,6f7174381c17c6aa9e410e490aaaa05e31a3c4ca5290601244016a639a582d10,388098,,2026-07-25T15:24:08.880764+00:00
https://community.agilent.com/cfs-filesystemfile/__key/communityserver-discussions-components-files/23/G7446_2D00_35102B-Agilent-magnetic-Resonance-systems.pdf,7,open,application/pdf,85b1f6e3da,artifacts\pdf_source_backups_20260725\files\004_community.agilent.com_85b1f6e3da_G7446_2D00_35102B-Agilent-magnetic-Resonance-systems.pdf,6dec1e12e791e0f31fa313cfe34933ef2a91a96cd290855e9199357016cc3047,525352,,2026-07-25T15:24:08.880764+00:00
https://icp-ms.help.agilent.com/en/Learning/PDF/G3666-90006_Precautions.pdf,7,open,application/pdf,093ff014b6,artifacts\pdf_source_backups_20260725\files\005_icp-ms.help.agilent.com_093ff014b6_G3666-90006_Precautions.pdf,bf7af4f8537dcb6d4cc5c7dd5bd0934164de13bc50d0f6d26ed9e16568017bb3,149077,,2026-07-25T15:24:08.880764+00:00
https://www.agilent.com/cs/library/brochures/Getting_your_HPLC_Back_up_and_running_flyer.pdf,1,network_error,,2e85fcbdda,artifacts\pdf_source_backups_20260725\files\005_www.agilent.com_2e85fcbdda_Getting_your_HPLC_Back_up_and_running_flyer.pdf,a8d33d8319de9ab01e3fc815cb433dc2866adf9037244c3caad854a664833833,211765,,2026-07-25T15:24:08.880764+00:00
https://ehs.stanford.edu/wp-content/uploads/Storage-Group-Poster.pdf,6,open,application/pdf,12afb031b6,artifacts\pdf_source_backups_20260725\files\006_ehs.stanford.edu_12afb031b6_Storage-Group-Poster.pdf,7c416cbec4c911446f21fa77a2f48d866d35e812f4eb6fbee2416efc15f5737f,415350,,2026-07-25T15:24:08.880764+00:00
